Date,Geo,Confirmed,Infected,Deaths,Recovered,Population
2020-02-15 00:00:00,ALBERTA,0,0,0,0,0
2020-02-16 00:00:00,ALBERTA,0,0,0,0,0
2020-02-17 00:00:00,ALBERTA,0,0,0,0,0
2020-02-18 00:00:00,ALBERTA,0,0,0,0,0
2020-02-19 00:00:00,ALBERTA,0,0,0,0,0
2020-02-20 00:00:00,ALBERTA,0,0,0,0,0
2020-02-21 00:00:00,ALBERTA,0,0,0,0,0
2020-02-22 00:00:00,ALBERTA,0,0,0,0,0
2020-02-23 00:00:00,ALBERTA,0,0,0,0,0
2020-02-24 00:00:00,ALBERTA,0,0,0,0,0
2020-02-25 00:00:00,ALBERTA,0,0,0,0,0
2020-02-26 00:00:00,ALBERTA,0,0,0,0,0
2020-02-27 00:00:00,ALBERTA,0,0,0,0,0
2020-02-28 00:00:00,ALBERTA,0,0,0,0,0
2020-02-29 00:00:00,ALBERTA,0,0,0,0,0
2020-03-01 00:00:00,ALBERTA,0,0,0,0,0
2020-03-02 00:00:00,ALBERTA,0,0,0,0,0
2020-03-03 00:00:00,ALBERTA,0,0,0,0,0
2020-03-04 00:00:00,ALBERTA,0,0,0,0,0
2020-03-05 00:00:00,ALBERTA,0,0,0,0,0
2020-03-06 00:00:00,ALBERTA,0,0,0,0,0
2020-03-07 00:00:00,ALBERTA,0,0,0,0,0
2020-03-08 00:00:00,ALBERTA,1,-29617,29618,0,4413146
2020-03-09 00:00:00,ALBERTA,7,-29611,29618,0,4413146
2020-03-10 00:00:00,ALBERTA,7,-29611,29618,0,4413146
2020-03-11 00:00:00,ALBERTA,14,-29604,29618,0,4413146
2020-03-12 00:00:00,ALBERTA,19,-29599,29618,0,4413146
2020-03-13 00:00:00,ALBERTA,23,-29595,29618,0,4413146
2020-03-14 00:00:00,ALBERTA,29,-29589,29618,0,4413146
2020-03-15 00:00:00,ALBERTA,39,-29579,29618,0,4413146
2020-03-16 00:00:00,ALBERTA,56,-29562,29618,0,4413146
2020-03-17 00:00:00,ALBERTA,74,-29544,29618,0,4413146
2020-03-18 00:00:00,ALBERTA,97,-29521,29618,0,4413146
2020-03-19 00:00:00,ALBERTA,146,145,1,0,4413146
2020-03-20 00:00:00,ALBERTA,195,194,1,0,4413146
2020-03-21 00:00:00,ALBERTA,226,225,1,0,4413146
2020-03-22 00:00:00,ALBERTA,259,258,1,0,4413146
2020-03-23 00:00:00,ALBERTA,301,300,1,0,4413146
2020-03-24 00:00:00,ALBERTA,358,356,2,0,4413146
2020-03-25 00:00:00,ALBERTA,419,417,2,0,4413146
2020-03-26 00:00:00,ALBERTA,486,457,2,27,4413146
2020-03-27 00:00:00,ALBERTA,542,513,2,27,4413146
2020-03-28 00:00:00,ALBERTA,542,487,2,53,4413146
2020-03-29 00:00:00,ALBERTA,621,546,2,73,4413146
2020-03-30 00:00:00,ALBERTA,690,588,8,94,4413146
2020-03-31 00:00:00,ALBERTA,754,625,9,120,4413146
2020-04-01 00:00:00,ALBERTA,754,603,9,142,4413146
2020-04-02 00:00:00,ALBERTA,968,781,13,174,4413146
2020-04-03 00:00:00,ALBERTA,1075,883,18,174,4413146
2020-04-04 00:00:00,ALBERTA,1075,883,18,174,4413146
2020-04-05 00:00:00,ALBERTA,1250,987,23,240,4413146
2020-04-06 00:00:00,ALBERTA,1348,963,24,361,4413146
2020-04-07 00:00:00,ALBERTA,1373,986,26,361,4413146
2020-04-08 00:00:00,ALBERTA,1423,1033,29,361,4413146
2020-04-09 00:00:00,ALBERTA,1451,1058,32,361,4413146
2020-04-10 00:00:00,ALBERTA,1500,1100,39,361,4413146
2020-04-11 00:00:00,ALBERTA,1569,1168,40,361,4413146
2020-04-12 00:00:00,ALBERTA,1651,1246,44,361,4413146
2020-04-13 00:00:00,ALBERTA,1732,1325,46,361,4413146
2020-04-14 00:00:00,ALBERTA,1870,1461,48,361,4413146
